"4/30/2014","3","","","168","26:42:00"
"5/3/2014","","","1000","",""
"5/3/2014","2","","","","18:00:00"
"5/3/2014","2","","","166","18:30:00"
"5/5/2014","2","","","","17:00:00"
"5/5/2014","1","","","168","10:00:00"
"5/10/2014","","","1000","",""
"5/10/2014","3.6","","","167","30:50:00"
"5/24/2014","","","1000","",""
"5/24/2014","3","","","168","run/walk/jeff"
"5/25/2014","3.75","","","167","29:50:00"
"5/31/2014","1","","","",""
"5/31/2014","3.75","","","167","37:14:00"
"6/5/2014","2.3","","","169","20:00:00"
"6/8/2014","5.6","","","166","52:50:00"
"6/9/2014","","","1000","",""
"6/10/2014","2.4","","","166","20:05:00"
"6/15/2014","","","1000","",""
"6/15/2014","3","","","167","27:05:00"
"6/17/2014","2.6","","","165","24:00:00"
"6/19/2014","","","750","",""
"6/22/2014","2.8","","","165","24:10:00"
"8/3/2014","2.5","","","164",""
"8/10/2014","3","","","166","28:03:00"
"8/24/2014","3","","","166","29:40:00"
"8/26/2014","2.3","","","166","21:00:00"
"8/31/2014","3","","","","28:30:00"
"9/7/2014","3","","","166","26:40:00"
"9/9/2014","1.75","","","165","15:08:00"
"9/11/2014","1.55","","","168","14:05:00"
"9/13/2014","1","","","","7:32:00"
"9/23/2014","2","","","169","19:30:00"
"9/25/2014","2","","","168","18:30:00"
"9/30/2014","3","","","166","29:35:00"
"10/12/2014","3","","","166","29:50:00"
"10/19/2014","2.2","","","","20:20:00"
"10/19/2014","4","","","",""
"10/27/2014","3","","","166","27:45:00"
"10/29/2014","2.25","","","167","23:00:00"
"10/31/2014","3","","","168","26:46:00"
"11/2/2014","3","","","167","28:00:00"
"11/2/2014","2","","","167","19:30:00"
"11/4/2014","3","","","166","27:54:00"
"11/4/2014","1","","","166","10:00:00"
"11/6/2014","3","","","167","26:40:00"
"11/8/2014","5.6","","","168","60:00:00"
"11/12/2014","3","","","167","27:24:00"
"11/18/2014","3","","","166","27:12:00"
"11/23/2014","6.25","","","165","60:00:00"
"11/29/2014","3.1","","","162","30:00:00"
"11/29/2014","1","","","",""
"12/2/2014","2.25","","","163","20:00:00"
"12/5/2014","6.29","","","159","60:00:00"
"12/13/2014","6.15","","","157","60:00:00"
"12/15/2014","6.23","","","157","60:00:00"
"12/20/2014","6.05","","","155","60:00:00"
"12/24/2014","1.7","","","156","17:00:00"
"12/27/2014","6.4","","","155","60:00:00"
"12/31/2014","4","","","156","40:30:00"
"1/6/2015","6.48","","","154","60:00:00"
"1/10/2015","2.33","","","154","30:00:00"
"1/12/2015","3","","","155","26:04:00"
"1/16/2015","4.2","","","154","40:00:00"
"1/19/2015","3","","","154","25:48:00"
"1/22/2015","6.25","","","154","60:00:00"
"1/26/2015","2.6","","","154"," "
"3/30/2015","2.5","","","150","24:45:00"
"4/4/2015","3","","","151","28:25:00"
"4/11/2015","3","","","151","27:45:00"
"4/18/2015","3","","","151","26:25:00"
"4/26/2015","3","","","150","28:09:00"
"5/12/2015","3.5","","","152","32:55:00"
"5/16/2015","4.5","","","152","49:00:00"
"6/6/2015","5.5","","","151","60:00:00"
"6/20/2015","5.4","","","154","60:00:00"
"6/24/2015","6.17","","","152","60:00:00"
"6/28/2015","5.87","","","152","60:00:00"
"7/1/2015","6.4","","","152","60:00:00"
"7/5/2015","6.53","","","152","60:00:00"
"7/8/2015","3","","","153","26:52:00"
"7/11/2015","1","","","",""
"7/11/2015","6.7","","","153","60:00:00"
"7/15/2015","1","","","",""
"7/15/2015","5.81","","","153","60:00:00"
"7/18/2015","1"," ","","",""
"7/25/2015","4.7","","","","41:06:00"
"8/2/2015","2","","","",""
"8/2/2015","1","","","153",""
"8/6/2015","2","","","",""
"8/6/2015","1","","","152",""
"8/8/2015","2","","","",""
"8/8/2015","0.7","","","152",""
